word,count
cost,17732
someone,17688
bore,17688
caesar,17688
concerning,17688
flew,17666
birds,17666
address,17622
glanced,17600
vast,17600
class,17600
lifted,17578
difference,17512
fully,17468
ball,17468
bow,17468
required,17468
west,17446
powers,17446
suffer,17446
grass,17446
hole,17446
bare,17424
excited,17424
ebooks,17424
social,17424
officers,17424
dust,17402
rain,17402
east,17380
peggotty,17336
drive,17336
gently,17292
education,17292
marked,17270
raskolnikov,17270
suffering,17270
whence,17248
falling,17248
beat,17248
confidence,17248
crime,17226
share,17204
serve,17182
sons,17182
watching,17138
copies,17138
burning,17138
knightley,17116
wonderful,17116
morrel,17094
kitchen,17094
doors,17094
rooms,17094
snow,17072
possessed,17072
rage,17072
double,17028
result,17028
wants,17006
thyself,17006
decided,16984
pulled,16984
elton,16984
appears,16984
royal,16962
candle,16962
song,16940
nurse,16940
group,16918
modern,16918
shop,16918
value,16896
described,16896
bernard,16874
moreover,16830
content,16830
owner,16830
non,16808
board,16698
pure,16698
key,16698
dull,16676
listening,16676
lest,16676
calling,16676
wicked,16654
pressed,16610
flesh,16588
catherine,16588
system,16588
francs,16588
greatly,16588
ful,16544
bold,16544
efforts,16544
size,16522
perceived,16500
example,16500
blame,16478
grey,16478
yow,16434
working,16412
slight,16390
dry,16390
limited,16390
events,16390
located,16390
drop,16368
sing,16368
conduct,16346
religion,16346
prick,16346
plan,16346
proceeded,16346
possibly,16346
clare,16346
delighted,16324
played,16324
anybody,16324
gray,16280
inside,16236
lui,16214
melancholy,16192
archer,16148
catch,16148
science,16148
fat,16148
trembling,16148
sur,16148
weary,16126
whenever,16126
understanding,16126
game,16126
unable,16082
ashamed,16082
nearer,16082
asking,16060
majesty,16060
distant,16060
nicholas,16016
misery,16016
slow,15994
absence,15994
express,15972
farther,15950
expressed,15950
curiosity,15950
ordinary,15906
choose,15906
freedom,15884
ease,15884
meanwhile,15884
wel,15862
swear,15862
approach,15862
distributing,15840
wilt,15840
zarathustra,15840
uttered,15840
previous,15840
suit,15818
lion,15818
pieces,15818
hero,15796
quod,15796
innocent,15796
explain,15774
sin,15774
assure,15774
occupied,15774
affair,15752
interesting,15752
report,15730
ophelia,15730
extent,15708
faint,15708
farewell,15708
habit,15686
bless,15686
tax,15686
taught,15664
naturally,15664
worst,15664
instantly,15664
beheld,15664
cruel,15620
busy,15620
impression,15620
nora,15598
lords,15554
proved,15554
bodies,15554
wear,15554
services,15532
bid,15532
nevertheless,15510
mankind,15488
merry,15488
speed,15488
success,15466
hector,15466
visible,15466
brain,15466
comply,15444
shown,15444
gazed,15422
colour,15422
hopes,15422
inn,15422
flower,15422
shape,15422
leg,15400
yard,15400
russian,15378
absolutely,15378
praise,15378
honor,15356
distribution,15334
entrance,15334
confess,15290
wretched,15290
meg,15268
laughter,15268
murder,15268
advanced,15246
loving,15246
aid,15246
rushed,15246
saved,15246
couple,15202
convinced,15180
mas,15180
souls,15158
phrase,15136
slain,15136
fish,15136
wound,15114
cases,15092
rapidly,15092
whan,15070
marie,15070
miserable,15070
sentence,15070
amy,15070
mortal,15048
throat,15026
rock,15026
german,15026
original,15004
stars,15004
bitter,15004
served,14982
anger,14982
ceased,14982
points,14982
explanation,14982
sooner,14982
kingdom,14982
shaking,14982
hide,14916
eva,14916
rough,14916
thrust,14916
necessity,14916
interrupted,14916
camp,14916
kindness,14894
weeks,14872
paused,14872
excitement,14872
stones,14872
forehead,14850
wisdom,14850
succeeded,14850
wishes,14828
lover,14828
apparently,14828
boots,14806
official,14806
join,14806
imagination,14806
similar,14784
singing,14762
subjects,14762
desired,14740
resumed,14740
evident,14740
mass,14740
wol,14718
consequence,14718
begged,14696
political,14696
familiar,14696
sue,14674
anon,14674
obtain,14674
mention,14674
flight,14674
importance,14674
bennet,14630
stands,14630
instance,14630
intended,14586
knife,14586
mistake,14586
approached,14564
mademoiselle,14564
creatures,14564
gathered,14564
softly,14542
sisters,14542
dance,14542
manners,14520
slept,14520
darling,14498
forms,14498
square,14498
disappeared,14476
features,14476
pause,14476
needs,14432
lamp,14432
warn,14432
midst,14432
weather,14410
bridge,14410
adventure,14410
awful,14388
launcelot,14388
narrow,14366
sufficient,14366
splendid,14344
suffered,14344
direct,14344
personal,14322
clean,14322
crying,14322
teach,14300
blessed,14300
crossed,14300
shal,14300
actually,14278
dogs,14278
buried,14278
addressed,14278
dangerous,14256
carrying,14256
birth,14256
ended,14256
accepted,14234
declared,14234
attack,14212
observe,14212
fetch,14168
strike,14168
achilles,14146
javert,14146
heat,14124
avoid,14124
fro,14102
accept,14102
loose,14102
medium,14102
playing,14102
cheeks,14080
worn,14080
horrible,14080
patience,14080
nonsense,14058
protected,14058
enjoy,14058
conscious,14058
remarked,14036
agreeable,14036
arrival,14036
coach,14036
remains,14014
bearing,14014
leading,14014
evidence,14014
hurried,13992
harry,13992
arranged,13970
loves,13948
forgot,13948
match,13948
sleeping,13926
precious,13926
alexey,13926
circle,13904
hoped,13904
gain,13882
actions,13882
woodhouse,13860
rank,13838
equally,13838
deeply,13838
capital,13838
treasure,13816
brow,13816
check,13816
intellectual,13816
fierce,13794
haven,13794
enemies,13772
hastily,13772
kindly,13772
sacred,13772
extremely,13772
fields,13750
obey,13750
colonel,13750
proceed,13750
buy,13750
deed,13728
building,13728
station,13728
witness,13706
hanging,13706
gradually,13706
minister,13706
hell,13684
minds,13684
style,13684
require,13684
huge,13684
jim,13662
cloud,13662
mysterious,13662
distribute,13662
notes,13640
fairfax,13640
edward,13618
beast,13618
frank,13618
professor,13618
somewhere,13596
firm,13596
messenger,13574
reasonable,13574
claim,13574
bingley,13574
destroy,13552
motion,13552
lighted,13552
utmost,13552
struggle,13530
bringing,13530
confusion,13508
fail,13508
moral,13486
spend,13486
handed,13464
sounds,13464
sprang,13464
hurry,13464
reasons,13464
franz,13442
christ,13442
clever,13442
mamma,13442
dreams,13442
clouds,13420
weight,13420
hither,13420
task,13420
becomes,13398
delicious,13398
famous,13398
relations,13376
bowed,13376
gloomy,13376
thinks,13376
clerk,13376
worked,13354
falstaff,13332
credit,13332
arose,13310
powerful,13310
apart,13266
friendly,13266
winkle,13244
skin,13244
bought,13244
departed,13222
